Fighter,Date,Event,Class,Opponent,Method,Length,Result
Ashkan Mokhtarian,6/10/2017,UFC Fight Night: Lewis vs. Hunt,Flyweight,John Moraga,Decision - Unanimous,R3,Loss
Tom Duquesnoy,3/17/2018,UFC Fight Night: Werdum vs. Volkov,Bantamweight,Terrion Ware,Decision - Unanimous,R3,Win
Tom Duquesnoy,10/7/2017,UFC 216: Ferguson vs. Lee,Bantamweight,Cody Stamann,Decision - Split,R3,Loss
Tom Duquesnoy,4/15/2017,UFC Fight Night: Johnson vs. Reis,Bantamweight,Patrick Williams,KO/TKO,"R2, 0:28",Win
Jared Gordon,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Lightweight,Joaquim Silva,KO/TKO,"R3, 2:39",Loss
Jared Gordon,2/18/2018,UFC Fight Night: Cerrone vs. Medeiros,Lightweight,Diego Ferreira,KO/TKO,"R1, 1:58",Loss
Jared Gordon,10/28/2017,UFC Fight Night: Brunson vs. Machida,Lightweight,Hacran Dias,Decision - Unanimous,R3,Win
Jared Gordon,6/25/2017,UFC Fight Night: Chiesa vs. Lee,Featherweight,Michel Quinones,KO/TKO,"R2, 4:24",Win
Rashad Coulter,11/24/2018,UFC Fight Night: Blaydes vs. Ngannou 2,Light Heavyweight,Hu Yaozong,Decision - Unanimous,R3,Win
Rashad Coulter,6/9/2018,UFC 225: Whittaker vs. Romero 2,Heavyweight,Chris de la Rocha,KO/TKO,"R2, 3:53",Loss
Rashad Coulter,11/18/2017,UFC Fight Night: Werdum vs. Tybura,Heavyweight,Tai Tuivasa,KO/TKO,"R1, 4:35",Loss
Rashad Coulter,5/13/2017,UFC 211: Miocic vs. Dos Santos,Heavyweight,Chase Sherman,KO/TKO,"R2, 3:36",Loss
Justin Gaethje,8/25/2018,UFC Fight Night: Gaethje vs. Vick,Lightweight,James Vick,KO/TKO,"R1, 1:27",Win
Justin Gaethje,4/14/2018,UFC Fight Night: Poirier vs. Gaethje,Lightweight,Dustin Poirier,KO/TKO,"R4, 0:33",Loss
Justin Gaethje,12/2/2017,UFC 218: Holloway vs. Aldo 2,Lightweight,Eddie Alvarez,KO/TKO,"R3, 3:59",Loss
Justin Gaethje,7/7/2017,The Ultimate Fighter 25 Finale,Lightweight,Michael Johnson,KO/TKO,"R2, 4:48",Win
Junior Albini,2/2/2019,UFC Fight Night: Assuncao vs. Moraes 2,Heavyweight,Dmitry Sosnovskiy,,,
Junior Albini,5/12/2018,UFC 224: Nunes vs. Pennington,Heavyweight,Aleksei Oleinik,Submission,"R1, 1:45",Loss
Junior Albini,11/11/2017,UFC Fight Night: Poirier vs. Pettis,Heavyweight,Andrei Arlovski,Decision - Unanimous,R3,Loss
Junior Albini,7/22/2017,UFC Fight Night: Weidman vs. Gastelum,Heavyweight,Tim Johnson,KO/TKO,"R1, 2:51",Win
Ji Yeon Kim,11/30/2018,UFC - TUF 28 Finale,Women's Flyweight,Antonina Shevchenko,Decision - Unanimous,R3,Loss
Ji Yeon Kim,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Women's Flyweight,Melinda Fabian,Decision - Split,R3,Win
Ji Yeon Kim,1/27/2018,UFC Fight Night: Jacare vs. Brunson 2,Women's Flyweight,Justine Kish,Decision - Split,R3,Win
Ji Yeon Kim,6/17/2017,UFC Fight Night: Holm vs. Correia,Women's Bantamweight,Lucie Pudilova,Decision - Unanimous,R3,Loss
