Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link,Full_Name,Country,Age,Height,Weight,BMI,AvgFightTimeLong,AvgFightTimeShort,TakedownsLanded,TakedownDefense,TakedownAccuracy,SubmissionAttempts,SubmissionAverage,SigStrikesLanded,SigStrikesAccuracy,Knockdowns,SLpM,SApM,PlusMinus,SigStrikingDefense,TotStrikesLanded
589584,Josh,,Emmett,Featherweight,2773.0,13,2,0,False,9,,Active,http://www.ufc.com/fighter/josh-emmett,Josh Emmett,United States,33,67.0,145.0,22.707730006683004,,,,,,,,,,,,,,,
500044,Holly,The Preacher's Daughter,Holm,Women_Featherweight,2317.0,12,4,0,False,2,,Active,http://www.ufc.com/fighter/holly-holm,Holly Holm,United States,37,68.0,145.0,22.044766435986162,17:51,,,,,,,,,,,,,,
500044,Holly,The Preacher's Daughter,Holm,Women_Featherweight,2317.0,12,4,0,False,2,,Active,http://www.ufc.com/fighter/holly-holm,Holly Holm,United States,37,68.0,145.0,22.044766435986162,17:51,,,,,,,,,,,,,,
654154,Don,Magic Man,Madge,Lightweight,3063.0,8,1,0,False,,,Active,http://www.ufc.com/fighter/don-madge,Don Madge,South Africa,28,72.0,155.0,21.019483024691358,,,,,,,,,,,,,,,
15,Andrei,The Pit Bull,Arlovski,Heavyweight,367.0,27,17,0,False,13,,Active,http://www.ufc.com/fighter/andrei-arlovski,Andrei Arlovski,Belarus,39,75.0,265.0,33.11911111111111,,,,,,,,,,,,,,,
464235,Ryan,Baby Face,Benoit,Flyweight,2134.0,10,5,0,False,13,,Active,http://www.ufc.com/fighter/ryan-benoit,Ryan Benoit,United States,29,65.0,125.0,20.798816568047336,,,,,,,,,,,,,,,
535918,Arnold,Almighty,Allen,Featherweight,2570.0,13,1,0,False,,,Active,http://www.ufc.com/fighter/arnold-allen,Arnold Allen,England,24,68.0,145.0,22.044766435986162,,,,,,,,,,,,,,,
654330,Said,,Nurmagomedov,Flyweight,3066.0,11,1,0,False,12,,Active,http://www.ufc.com/fighter/said-nurmagomedov,Said Nurmagomedov,Russian Federation,26,68.0,125.0,19.00410899653979,,,,,,,,,,,,,,,
660910,David,Sagat,Zawada,Welterweight,3159.0,16,4,0,False,,,Active,http://www.ufc.com/fighter/david-zawada,David Zawada,Germany,28,72.0,170.0,23.053626543209877,,,,,,,,,,,,,,,
623083,Davi,Tasmanian Devil,Ramos,Lightweight,2877.0,8,2,0,False,,,Active,http://www.ufc.com/fighter/davi-ramos,Davi Ramos,Brazil,32,68.0,155.0,23.565095155709344,,,,,,,,,,,,,,,
654331,Jennifer,,Maia,Women_Flyweight,3065.0,15,5,1,False,14,,Active,http://www.ufc.com/fighter/jennifer-maia,Jennifer Maia,Brazil,30,64.0,125.0,21.453857421875,,,,,,,,,,,,,,,
453503,Sarah,Cheesecake,Moras,Women_Bantamweight,2240.0,5,5,0,False,,,Active,http://www.ufc.com/fighter/sarah-moras,Sarah Moras,Canada,30,67.0,135.0,21.14167966139452,,,,,,,,,,,,,,,
911,Jose,,Aldo,Featherweight,1052.0,27,4,0,False,2,,Active,http://www.ufc.com/fighter/jose-aldo,Jose Aldo,Brazil,32,67.0,145.0,22.707730006683004,17:08,,,90.60,,,,,,,,,,,
266905,Marcelo,,Guimaraes,Middleweight,1989.0,9,2,1,False,,,Active,http://www.ufc.com/fighter/marcelo-guimaraes,Marcelo Guimaraes,Brazil,35,72.0,185.0,25.087770061728396,,,,,,,,,,,,,,,
514567,Renato,,Moicano,Featherweight,2375.0,12,1,1,False,4,,Active,http://www.ufc.com/fighter/renato-moicano,Renato Moicano,Brazil,29,71.0,145.0,20.221186272564967,,,,,,,,,,,,,,,
453508,Gina,Danger,Mazany,Women_Bantamweight,2866.0,5,2,0,False,,,Active,http://www.ufc.com/fighter/gina-mazany,Gina Mazany,United States,30,66.0,135.0,21.787190082644628,,,,,,,,,,,,,,,
591269,Jordan,,Rinaldi,Featherweight,2774.0,14,6,0,False,,,Active,http://www.ufc.com/fighter/jordan-rinaldi,Jordan Rinaldi,United States,31,70.0,145.0,20.803061224489795,,,,,,,,,,,,,,,
654789,Darko,,Stosic,Light_Heavyweight,3067.0,13,1,0,False,,,Active,http://www.ufc.com/fighter/darko-stosic,Darko Stosic,Serbia,26,72.0,205.0,27.79996141975309,,,,,,,,,,,,,,,
453509,Roxanne,The Happy Warrior,Modafferi,Women_Flyweight,1430.0,23,15,0,False,7,,Active,http://www.ufc.com/fighter/roxanne-modafferi,Roxanne Modafferi,United States,36,66.0,125.0,20.173324150596876,,,,,,,,,,,,,,,
