Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link
610266,Kwan Ho,The Handsome,Kwak,Bantamweight,2838,9,2,0,False,,,Active,http://www.ufc.com/fighter/kwan-ho-kwak
636383,Steven,Ocho,Peterson,Featherweight,2985,17,7,0,False,,,Active,http://www.ufc.com/fighter/steven-peterson
659406,Chibwikem,,Onyenegecha-Palmer,Middleweight,,6,0,0,False,,,Active,http://www.ufc.com/fighter/chibwikem-onyenegecha
1084,Keita,K-Taro,Nakamura,Welterweight,525,33,8,2,False,,,Active,http://www.ufc.com/fighter/keita-nakamura
492800,Juliana,Ju Thai,Lima,Women_Strawweight,2279,9,5,0,False,,,Active,http://www.ufc.com/fighter/juliana-lima
528648,Elizeu,Capoeira,Zaleski dos Santos,Welterweight,2508,20,5,0,False,14,,Active,http://www.ufc.com/fighter/elizeu-zaleski-dos-santos
636384,Benito,Golden Boy,Lopez,Bantamweight,2986,9,0,0,False,,,Active,http://www.ufc.com/fighter/benito-lopez
659407,Austin,AK-47,Vanderford,Welterweight,,4,0,0,False,,,Active,http://www.ufc.com/fighter/austin-vanderford
492976,Lauren,Lucky,Murphy,Women_Flyweight,2293,10,4,0,False,8,,Active,http://www.ufc.com/fighter/lauren-murphy
636385,Kennedy,African Savage,Nzechukwu,Light_Heavyweight,2984,6,0,0,False,,,Active,http://www.ufc.com/fighter/kennedy-nzechukwu
659408,Angelo,Baby Monster,Trevino,Welterweight,,7,2,0,False,,,Active,http://www.ufc.com/fighter/angelo-trevino
790,Jamie,,Varner,Lightweight,530,21,11,1,False,,,NotFighting,http://www.ufc.com/fighter/jamie-varner
480077,Brian,T-City,Ortega,Featherweight,2238,14,1,0,False,1,,Active,http://www.ufc.com/fighter/brian-ortega
636454,Janay,,Harding,Women_Bantamweight,,3,2,0,False,,,Active,http://www.ufc.com/fighter/janay-harding
659409,Edmen,The Golden Boy,Shahbazyan,Middleweight,,6,0,0,False,,,Active,http://www.ufc.com/fighter/edmen-shahbazyan
791,Alan,The Talent,Belcher,Middleweight,521,17,7,0,False,,,NotFighting,http://www.ufc.com/fighter/alan-belcher
242293,Julie,Fireball,Kedzie,Women_Bantamweight,1197,16,13,0,False,,,NotFighting,http://www.ufc.com/fighter/julie-kedzie
530031,Magomed,,Mustafaev,Lightweight,2529,13,2,0,False,,,Active,http://www.ufc.com/fighter/magomed-mustafaev
636456,Kelly,Killer,Velasco,Women_Bantamweight,3000,2,2,0,False,,,Active,http://www.ufc.com/fighter/kelly-velasco
659410,Antonio,Doomsday,Jones,Middleweight,,7,0,0,False,,,Active,http://www.ufc.com/fighter/antonio-jones
666299,Hannah,Shockwave,Cifers,Women_Strawweight,3208,8,3,0,False,,,Active,http://www.ufc.com/fighter/hannah-cifers
636457,Adam,Captain Chaos,Antolin,Flyweight,1285,13,3,0,False,,,Active,http://www.ufc.com/fighter/adam-antolin
647180,Livinha,The Brazilian Gangster,Souza,Women_Strawweight,3052,12,1,0,False,,,Active,http://www.ufc.com/fighter/livinha-souza
793,Joe,,Lauzon,Lightweight,524,27,16,0,False,,,Active,http://www.ufc.com/fighter/joe-lauzon
636458,Don'Tale,King Kong,Mayes,Heavyweight,2997,5,2,0,False,,,Active,http://www.ufc.com/fighter/don-tale-mayes
647235,Mackenzie,,Dern,Women_Strawweight,3054,7,0,0,False,15,,Active,http://www.ufc.com/fighter/mackenzie-dern
