Year,Period,Title,Title_Year,Rating
2018,Spring,Kong: Skull Island,,5
2018,Spring,Southside with You,,8.6
2018,Spring,Chris Rock: Tamborine,,6.8
2018,Spring,Tom Segura: Disgraceful,,9
2018,Spring,Free Fire,,7.2
2018,Spring,"Oh, Hello on Broadway",,8.7
2018,Spring,Black Panther,,9.6
2018,Spring,Rhys Darby: This Way to Spaceship!,,8.3
2018,Spring,Rhys Darby: Night!,,7.1
2018,Spring,"I, Tonya",,9.4
2018,Spring,Rhys Darby: I’m A Fighter Jet,,7.5
2018,Spring,The Post,,7
2018,Spring,Darkest Hour,,6.3
2018,Spring,Fred Armisen: Standup For Drummers,,3.2
2018,Spring,Akira,,7.7
2018,Spring,Bill Burr: Walk Your Way Out,,7.3
2018,Spring,The Trader,,6.2
2018,Spring,Brigsby Bear,,8.3
2018,Spring,Jerry Seinfeld: 'I'm Telling You for the Last Time',,4.4
2018,Spring,Christina P: Mother Inferior,,6.5
2018,Spring,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",,8.4
2018,Spring,Anthony Jeselnik: Thoughts and Prayers,,3.1
2018,Spring,Garfunkel and Oates: Trying to Be Special,,8.3
2018,Spring,The Polka King,,4.3
2018,Spring,Louis C.K.: Live at the Comedy Store,,6.7
2018,Spring,Joe Mande's Award-Winning Comedy Special,,8.8
2018,Spring,Ready Player One,,6.3
2018,Spring,Annihilation,,9.6
2018,Spring,The Death of Stalin,,8
2018,Spring,Isle of Dogs,,9.1
2018,Spring,A Quiet Place,,9.5
2018,Spring,Why Him?,,3.1
2018,Spring,Avengers: Infinity War,,7.8
2018,Spring,Café Society,,5.8
2018,Spring,David Cross: Making America Great Again,,8.3
2018,Spring,The Lego Ninjago Movie,,5
2018,Spring,The Jungle Book ,2016,7.2
2018,Spring,The Carter Effect,,7.3
2018,Spring,First Reformed,,8.7
2018,Summer,Solo: A Star Wars Story,,7.4
2018,Summer,Hari Kondabolu: Warn Your Relatives,,9
2018,Summer,Hereditary,,9.5
2018,Summer,Lupin III: The Castle of Cagliostro,,8.1
2018,Summer,Deadpool 2,,8.2
2018,Summer,Annabelle: Creation,,4.8
2018,Summer,Game Night,,8.5
2018,Summer,The Seventh Seal,,9.5
2018,Summer,The Trip to Spain,,7.3
2018,Summer,Thelma,,6.5
2018,Summer,Autumn Sonata,,9.1
2018,Summer,A Horrible Woman,,4.5
2018,Summer,Justice League,,2.7
2018,Summer,The Ritual,,5.1
2018,Summer,Ant-Man and the Wasp,,8.1
2018,Summer,Set It Up,,7.2
2018,Summer,Hannah Gadsby: Nanette,,10
2018,Summer,Jumanji: Welcome to the Jungle,,6.8
2018,Summer,Marshall,,6.4
2018,Summer,She's Beautiful When She's Angry,,7.5
2018,Summer,Demetri Martin: The Overthinker,,6.5
2018,Summer,Eighth Grade,,9.7
2018,Summer,BlacKkKlansman,,9.6
2018,Fall,Greg Davies: You Magnificent Beast,,9
2018,Fall,Mission: Impossible - Fallout,,8.8
2018,Fall,Last Shift,,6.2
2018,Fall,Moana,,8.4
2018,Fall,Girls Trip,,7.3
2018,Fall,Constantine,,4.3
2018,Fall,Venom,,6.1
2018,Fall,Daniel Sloss: Dark,,9.7
2018,Fall,A Night in Heaven,,2.5
2018,Fall,A Star Is Born,,7.3
2018,Fall,Halloween ,2018,8.9
2018,Fall,Sky Captain and the World of Tomorrow,,2.5
2018,Fall,Action Jackson,,8.3
2018,Fall,Skyscraper,,3.2
2018,Fall,Slice,,2.7
2018,Fall,Green Book,,6.8
2018,Fall,The Brainwashing of My Dad,,5.5
2018,Fall,Barbarella,,4.5
2018,Fall,Look Who's Talking Now,,2.1
2018,Fall,Mom and Dad,,5.3
2018,Fall,Mandy,,9
2018,Fall,Spider-Man: Into the Spider-Verse,,9.6
2018,Fall,Perfect Stranger,,1.6
2018,Fall,Incredibles 2,,7.7
2018,Fall,Ricky Gervais: Humanity,,6.6
2018,Fall,Holiday in Handcuffs,,2.1
2018,Fall,Vice,,5.2
2018,Fall,The Foreigner,,7
2018,Fall,Upgrade,,8.1
