Key,Year,Period,Title,Title_Year,Juan_Rating,Type,Released,Runtime,genres,IMDB_Rating,Votes,Rating_Diff,Top_Genre
227,2016,Fall,Brooklyn,,9.3,movie,2015,117,"Drama,Romance",7.5,113123.0,1.8000000000000007,Drama
229,2016,Fall,Art & Copy,,7.0,movie,2009,89,Documentary,6.8,1648.0,0.20000000000000018,Documentary
230,2016,Fall,No No: A Dockumentary,,8.9,movie,2014,100,"Biography,Documentary,Sport",7.2,1333.0,1.7000000000000002,Biography
233,2016,Fall,Deliverance,,8.1,movie,1972,109,"Adventure,Drama,Thriller",7.7,89223.0,0.39999999999999947,Adventure
236,2016,Fall,Let Us Prey,,8.5,movie,2014,92,"Horror,Thriller",5.7,8005.0,2.8,Horror
237,2016,Fall,28 Weeks Later,,6.7,movie,2007,100,"Drama,Horror,Sci-Fi",7.0,237735.0,-0.2999999999999998,Drama
241,2016,Fall,Children of the Sun,,8.0,movie,2014,87,"Comedy,Drama,Family",7.9,267.0,0.09999999999999964,Comedy
243,2016,Fall,Cronos,,6.9,movie,1993,94,Horror,6.7,23825.0,0.20000000000000018,Horror
245,2016,Fall,Son of Saul,,8.9,movie,2015,107,"Drama,War",7.5,37486.0,1.4000000000000004,Drama
257,2016,Fall,Sisters,,6.2,movie,2015,118,Comedy,6.0,57531.0,0.20000000000000018,Comedy
261,2016,Fall,Southbound,,7.5,movie,2015,89,"Fantasy,Horror,Thriller",5.9,13681.0,1.5999999999999996,Fantasy
268,2016,Fall,Moonlight,,10.0,movie,2016,111,Drama,7.4,212779.0,2.5999999999999996,Drama
270,2016,Fall,Arrival,,10.0,movie,2016,116,"Drama,Mystery,Sci-Fi",7.9,486768.0,2.0999999999999996,Drama
274,2016,Fall,Everything Is Illuminated,,5.8,movie,2005,106,"Comedy,Drama",7.5,54379.0,-1.7000000000000002,Comedy
277,2016,Fall,Friday the 13th,,2.5,movie,1980,95,"Horror,Mystery,Thriller",6.5,102433.0,-4.0,Horror
283,2016,Fall,Michael Che Matters,,8.5,tvSpecial,2016,61,Comedy,7.0,1508.0,1.5,Comedy
287,2016,Fall,Loving,,8.4,movie,2016,123,"Biography,Drama,Romance",7.0,26747.0,1.4000000000000004,Biography
290,2016,Fall,Eye in the Sky,,9.2,movie,2015,102,"Drama,Thriller,War",7.3,70783.0,1.8999999999999995,Drama
291,2016,Winter Break,The Angry Birds Movie,,3.4,movie,2016,97,"Action,Adventure,Animation",6.3,67471.0,-2.9,Action
292,2016,Winter Break,My Life in Ruins,,1.2,movie,2009,95,"Comedy,Romance",5.9,17036.0,-4.7,Comedy
296,2016,Winter Break,Iris,,7.2,movie,2001,91,"Biography,Drama,Romance",7.1,16009.0,0.10000000000000053,Biography
311,2016,Winter Break,La La Land,,10.0,movie,2016,128,"Comedy,Drama,Music",8.0,410943.0,2.0,Comedy
312,2016,Winter Break,Sausage Party,,8.0,movie,2016,89,"Adventure,Animation,Comedy",6.2,153920.0,1.7999999999999998,Adventure
314,2017,Spring,We Are What We Are,,8.1,movie,2013,105,"Drama,Horror,Thriller",5.9,18051.0,2.1999999999999993,Drama
315,2017,Spring,Swiss Army Man,,7.1,movie,2016,97,"Adventure,Comedy,Drama",7.0,86443.0,0.09999999999999964,Adventure
316,2017,Spring,Rogue One: A Star Wars Story,,9.5,movie,2016,133,"Action,Adventure,Sci-Fi",7.8,455650.0,1.7000000000000002,Action
317,2017,Spring,Ghostbusters ,2016.0,6.5,movie,2016,116,"Action,Comedy,Fantasy",5.3,180249.0,1.2000000000000002,Action
320,2017,Spring,Jackie,,8.4,movie,2016,100,"Biography,Drama,History",6.7,63496.0,1.7000000000000002,Biography
324,2017,Spring,Batman: The Killing Joke,,4.2,movie,2016,76,"Action,Animation,Crime",6.5,41450.0,-2.3,Action
325,2017,Spring,Manchester by the Sea,,9.4,movie,2016,137,Drama,7.8,203466.0,1.6000000000000005,Drama
327,2017,Spring,Suicide Squad,,4.1,movie,2016,123,"Action,Adventure,Fantasy",6.1,509015.0,-2.0,Action
328,2017,Spring,Keanu,,8.5,movie,2016,100,"Action,Comedy,Crime",6.3,39871.0,2.2,Action
329,2017,Spring,The Cabinet of Dr. Caligari,,8.1,movie,1920,76,"Fantasy,Horror,Mystery",8.1,48346.0,0.0,Fantasy
331,2017,Spring,Hell or High Water,,9.3,movie,2016,102,"Action,Crime,Drama",7.6,165790.0,1.700000000000001,Action
333,2017,Spring,Nosferatu,,6.0,movie,1922,94,"Fantasy,Horror",8.0,78976.0,-2.0,Fantasy
339,2017,Spring,Green Room,,8.8,movie,2015,95,"Horror,Music,Thriller",7.0,85600.0,1.8000000000000007,Horror
340,2017,Spring,How to Lose a Guy in 10 Days,,5.0,movie,2003,116,"Comedy,Romance",6.4,185833.0,-1.4000000000000004,Comedy
341,2017,Spring,Re-Animator,,6.5,movie,1985,105,"Comedy,Horror,Sci-Fi",7.2,48294.0,-0.7000000000000002,Comedy
343,2017,Spring,M,,9.3,movie,1931,117,"Crime,Mystery,Thriller",8.3,123675.0,1.0,Crime
351,2017,Spring,Beware the Slenderman,,6.9,movie,2016,114,"Biography,Crime,Documentary",6.3,4770.0,0.6000000000000005,Biography
352,2017,Spring,Iverson,,7.7,movie,2014,106,"Biography,Documentary,Sport",7.0,2694.0,0.7000000000000002,Biography
353,2017,Spring,Jud Süß,,6.5,movie,1940,98,Drama,5.7,2715.0,0.7999999999999998,Drama
354,2017,Spring,Hunt for the Wilderpeople,,9.5,movie,2016,101,"Adventure,Comedy,Drama",7.9,82682.0,1.5999999999999996,Adventure
355,2017,Spring,The Lego Batman Movie,,9.0,movie,2017,104,"Action,Animation,Comedy",7.3,108101.0,1.7000000000000002,Action
356,2017,Spring,John Wick: Chapter 2,,9.4,movie,2017,122,"Action,Crime,Thriller",7.5,254214.0,1.9000000000000004,Action
357,2017,Spring,"Michael Bolton's Big, Sexy Valentine's Day Special",,7.2,movie,2017,54,"Comedy,Music,Musical",6.7,1531.0,0.5,Comedy
358,2017,Spring,Murderers Among Us,,8.8,movie,1946,85,"Drama,Romance,Thriller",7.5,1752.0,1.3000000000000007,Drama
371,2017,Spring,The Bridge,,9.0,movie,2006,94,"Documentary,Drama",7.3,10329.0,1.7000000000000002,Documentary
388,2017,Spring,Ghost in the Shell ,1995.0,8.0,movie,1995,83,"Action,Animation,Crime",8.0,111825.0,0.0,Action
392,2017,Spring,Get Out,,9.8,movie,2017,104,"Horror,Mystery,Thriller",7.7,353946.0,2.1000000000000005,Horror
394,2017,Spring,Three Wishes for Cinderella,,6.7,movie,1973,75,"Adventure,Drama,Family",7.9,7236.0,-1.2000000000000002,Adventure
395,2017,Spring,Shin Godzilla,,8.2,movie,2016,120,"Action,Adventure,Drama",6.7,16445.0,1.4999999999999991,Action
396,2017,Spring,The Edge of Seventeen,,9.0,movie,2016,104,"Comedy,Drama",7.4,79843.0,1.5999999999999996,Comedy
398,2017,Spring,Don't Breathe,,8.2,movie,2016,88,"Crime,Horror,Thriller",7.1,177132.0,1.0999999999999996,Crime
401,2017,Spring,Logan,,8.8,movie,2017,137,"Action,Drama,Sci-Fi",8.1,526619.0,0.7000000000000011,Action
409,2017,Spring,Boy,,8.2,movie,2010,87,"Comedy,Drama",7.5,15808.0,0.6999999999999993,Comedy
421,2017,Spring,Nosferatu the Vampyre,,7.7,movie,1979,107,Horror,7.6,28008.0,0.10000000000000053,Horror
422,2017,Spring,Hacksaw Ridge,,7.5,movie,2016,139,"Biography,Drama,History",8.1,347263.0,-0.5999999999999996,Biography
424,2017,Spring,Fences,,8.2,movie,2016,139,Drama,7.2,82027.0,0.9999999999999991,Drama
426,2017,Spring,Doctor Strange,,6.7,movie,2016,115,"Action,Adventure,Fantasy",7.5,469114.0,-0.7999999999999998,Action
427,2017,Spring,Popstar: Never Stop Never Stopping,,8.0,movie,2016,87,"Comedy,Music",6.7,44920.0,1.2999999999999998,Comedy
428,2017,Spring,"Life, Animated",,9.8,movie,2016,92,"Comedy,Documentary,Drama",7.5,4882.0,2.3000000000000007,Comedy
429,2017,Spring,The Age of Spin: Dave Chappelle Live at the Hollywood Palladium,,7.8,tvSpecial,2017,67,"Comedy,Documentary",8.0,6750.0,-0.20000000000000018,Comedy
430,2017,Spring,Nocturnal Animals,,7.8,movie,2016,116,"Crime,Drama,Romance",7.5,194428.0,0.2999999999999998,Crime
431,2017,Spring,The Lost Honor of Katharina Blum,,9.8,movie,1975,106,"Crime,Drama",7.4,3431.0,2.4000000000000004,Crime
432,2017,Spring,Run Lola Run,,9.1,movie,1998,81,"Crime,Drama,Thriller",7.7,176734.0,1.3999999999999995,Crime
433,2017,Spring,Sing Street,,9.2,movie,2016,106,"Comedy,Drama,Music",8.0,71498.0,1.1999999999999993,Comedy
434,2017,Spring,Kolya,,8.9,movie,1996,105,"Comedy,Drama,Music",7.8,13406.0,1.1000000000000005,Comedy
435,2017,Spring,Almanya: Welcome to Germany,,6.3,movie,2011,101,"Comedy,Drama",7.2,5940.0,-0.9000000000000004,Comedy
436,2017,Spring,Lucas Brothers: On Drugs,,8.0,tvSpecial,2017,50,Comedy,5.4,702.0,2.5999999999999996,Comedy
437,2017,Spring,The Secret Life of Pets,,5.5,movie,2016,87,"Adventure,Animation,Comedy",6.5,154908.0,-1.0,Adventure
438,2017,Spring,You Laugh But It's True,,7.8,movie,2011,84,"Biography,Comedy,Documentary",7.2,798.0,0.5999999999999996,Biography
439,2017,Summer,Guardians of the Galaxy Vol. 2,,8.6,movie,2017,136,"Action,Adventure,Comedy",7.7,433100.0,0.8999999999999995,Action
440,2017,Summer,The Brothers Grimsby,,4.5,movie,2016,83,"Action,Adventure,Comedy",6.2,79011.0,-1.7000000000000002,Action
441,2017,Summer,After the Wedding,,8.5,movie,2006,120,Drama,7.8,28922.0,0.7000000000000002,Drama
443,2017,Summer,Bad Taste,,2.7,movie,1987,91,"Comedy,Horror,Sci-Fi",6.7,40634.0,-4.0,Comedy
444,2017,Summer,Caddyshack,,6.6,movie,1980,98,"Comedy,Sport",7.3,94263.0,-0.7000000000000002,Comedy
445,2017,Summer,Fantastic Beasts and Where to Find Them,,8.5,movie,2016,133,"Adventure,Family,Fantasy",7.3,343391.0,1.2000000000000002,Adventure
446,2017,Summer,Alien: Covenant,,8.0,movie,2017,122,"Horror,Sci-Fi,Thriller",6.4,215989.0,1.5999999999999996,Horror
447,2017,Summer,It Comes at Night,,9.2,movie,2017,91,"Horror,Mystery",6.2,64729.0,2.999999999999999,Horror
448,2017,Summer,Afro Samurai: Resurrection,,6.6,tvMovie,2009,97,"Action,Adventure,Animation",7.3,7570.0,-0.7000000000000002,Action
450,2017,Summer,Wonder Woman,,9.5,movie,2017,141,"Action,Adventure,Fantasy",7.5,456481.0,2.0,Action
461,2017,Summer,The Host,,8.2,movie,2013,125,"Action,Adventure,Drama",5.9,103921.0,2.299999999999999,Action
465,2017,Summer,Sky Ladder: The Art of Cai Guo-Qiang,,9.8,movie,2016,76,Documentary,7.4,807.0,2.4000000000000004,Documentary
467,2017,Summer,Don't Think Twice,,8.7,movie,2016,92,"Comedy,Drama",6.7,14666.0,1.9999999999999991,Comedy
468,2017,Summer,Central Intelligence,,6.8,movie,2016,107,"Action,Comedy,Crime",6.3,130658.0,0.5,Action
469,2017,Summer,Captain Underpants: The First Epic Movie,,8.8,movie,2017,89,"Action,Animation,Comedy",6.2,20838.0,2.6000000000000005,Action
