Name,FIGHTS,STR_F_TOT,TSAC_F_TOT,TD_F_TOT,TDAC_F_TOT,KD_F_TOT,PASS_F_TOT,REV_F_TOT,SUB_F_TOT,SIG_STR_F_TOT,SIG_ACC_F_TOT,SIG_HEAD_F_TOT,SIG_HEAD_ACC_F_TOT,SIG_BODY_F_TOT,SIG_BODY_ACC_F_TOT,SIG_LEG_F_TOT,SIG_LEG_ACC_F_TOT,STR_O_TOT,TSAC_O_TOT,TD_O_TOT,TDAC_O_TOT,KD_O_TOT,PASS_O_TOT,REV_O_TOT,SUB_O_TOT,SIG_STR_O_TOT,SIG_ACC_O_TOT,SIG_HEAD_O_TOT,SIG_HEAD_ACC_O_TOT,SIG_BODY_O_TOT,SIG_BODY_ACC_O_TOT,SIG_LEG_O_TOT,SIG_LEG_ACC_O_TOT,STR_F_FIGHT,TSAC_F_FIGHT,TD_F_FIGHT,TDAC_F_FIGHT,KD_F_FIGHT,PASS_F_FIGHT,REV_F_FIGHT,SUB_F_FIGHT,SIG_STR_F_FIGHT,SIG_ACC_F_FIGHT,SIG_HEAD_F_FIGHT,SIG_HEAD_ACC_F_FIGHT,SIG_BODY_F_FIGHT,SIG_BODY_ACC_F_FIGHT,SIG_LEG_F_FIGHT,SIG_LEG_ACC_F_FIGHT,STR_O_FIGHT,TSAC_O_FIGHT,TD_O_FIGHT,TDAC_O_FIGHT,KD_O_FIGHT,PASS_O_FIGHT,REV_O_FIGHT,SUB_O_FIGHT,SIG_STR_O_FIGHT,SIG_ACC_O_FIGHT,SIG_HEAD_O_FIGHT,SIG_HEAD_ACC_O_FIGHT,SIG_BODY_O_FIGHT,SIG_BODY_ACC_O_FIGHT,SIG_LEG_O_FIGHT,SIG_LEG_ACC_O_FIGHT,ROUNDS,STR_F_ROUND,TSAC_F_ROUND,TD_F_ROUND,TDAC_F_ROUND,KD_F_ROUND,PASS_F_ROUND,REV_F_ROUND,SUB_F_ROUND,SIG_STR_F_ROUND,SIG_ACC_F_ROUND,SIG_HEAD_F_ROUND,SIG_HEAD_ACC_F_ROUND,SIG_BODY_F_ROUND,SIG_BODY_ACC_F_ROUND,SIG_LEG_F_ROUND,SIG_LEG_ACC_F_ROUND,STR_O_ROUND,TSAC_O_ROUND,TD_O_ROUND,TDAC_O_ROUND,KD_O_ROUND,PASS_O_ROUND,REV_O_ROUND,SUB_O_ROUND,SIG_STR_O_ROUND,SIG_ACC_O_ROUND,SIG_HEAD_O_ROUND,SIG_HEAD_ACC_O_ROUND,SIG_BODY_O_ROUND,SIG_BODY_ACC_O_ROUND,SIG_LEG_O_ROUND,SIG_LEG_ACC_O_ROUND,MINS,STR_F_MIN,TSAC_F_MIN,TD_F_MIN,TDAC_F_MIN,KD_F_MIN,PASS_F_MIN,REV_F_MIN,SUB_F_MIN,SIG_STR_F_MIN,SIG_ACC_F_MIN,SIG_HEAD_F_MIN,SIG_HEAD_ACC_F_MIN,SIG_BODY_F_MIN,SIG_BODY_ACC_F_MIN,SIG_LEG_F_MIN,SIG_LEG_ACC_F_MIN,STR_O_MIN,TSAC_O_MIN,TD_O_MIN,TDAC_O_MIN,KD_O_MIN,PASS_O_MIN,REV_O_MIN,SUB_O_MIN,SIG_STR_O_MIN,SIG_ACC_O_MIN,SIG_HEAD_O_MIN,SIG_HEAD_ACC_O_MIN,SIG_BODY_O_MIN,SIG_BODY_ACC_O_MIN,SIG_LEG_O_MIN,SIG_LEG_ACC_O_MIN
Abdul-Kerim Edilov,2,150,71.4%,2,100.0%,0,0,0,0,77,61.6%,59,56.2%,16,94.1%,2,66.7%,97,63.4%,1,10.0%,0,0,0,0,58,53.7%,35,43.2%,7,77.8%,16,88.9%,75.0,71.4%,1.0,100.0%,0.0,0.0,0.0,0.5,38.5,61.6%,29.5,56.2%,8.0,94.1%,1.0,66.7%,48.5,63.4%,0.5,10.0%,0.0,0.0,0.0,0.0,29.0,53.7%,17.5,43.2%,3.5,77.8%,8.0,88.9%,5,30.0,71.4%,0.4,100.0%,0.0,0.0,0.0,0.2,15.4,61.6%,11.8,56.2%,3.2,94.1%,0.4,66.7%,19.4,63.4%,0.2,10.0%,0.0,0.0,0.0,0.0,11.6,53.7%,7.0,43.2%,1.4,77.8%,3.2,88.9%,22,6.818,71.4%,0.09,100.0%,0.0,0.0,0.0,0.045,3.5,61.6%,2.6180000000000003,56.2%,0.727,94.1%,0.091,66.7%,4.217,63.4%,0.04,10.0%,0.0,0.0,0.0,0.0,2.522,53.7%,1.5219999999999998,43.2%,0.304,77.8%,0.696,88.9%
Johnny Eduardo,7,180,38.9%,0,0.0%,2,0,0,0,173,38.0%,95,28.1%,15,48.4%,63,73.3%,284,44.6%,6,37.5%,0,3,0,2,200,36.5%,139,30.8%,25,54.3%,36,70.6%,25.714000000000002,38.9%,0.0,0.0%,0.28600000000000003,0.0,0.0,0.28600000000000003,24.714000000000002,38.0%,13.571,28.1%,2.1430000000000002,48.4%,9.0,73.3%,40.571,44.6%,0.86,37.5%,0.0,0.429,0.0,0.28600000000000003,28.570999999999998,36.5%,19.857,30.8%,3.571,54.3%,5.143,70.6%,14,12.857000000000001,38.9%,0.0,0.0%,0.14300000000000002,0.0,0.0,0.14300000000000002,12.357000000000001,38.0%,6.7860000000000005,28.1%,1.071,48.4%,4.5,73.3%,20.285999999999998,44.6%,0.43,37.5%,0.0,0.214,0.0,0.14300000000000002,14.286,36.5%,9.929,30.8%,1.786,54.3%,2.571,70.6%,59,3.051,38.9%,0.0,0.0%,0.034,0.0,0.0,0.034,2.932,38.0%,1.585,28.1%,0.254,48.4%,1.068,73.3%,4.7330000000000005,44.6%,0.1,37.5%,0.0,0.05,0.0,0.033,3.333,36.5%,2.3169999999999997,30.8%,0.41700000000000004,54.3%,0.6,70.6%
Leon Edwards,10,547,58.7%,12,29.3%,3,26,3,1,340,48.3%,222,40.4%,73,73.0%,45,81.8%,603,61.0%,13,28.3%,1,16,0,0,282,44.7%,150,33.6%,85,73.9%,47,67.1%,54.7,58.7%,1.2,29.3%,0.3,2.6,0.3,0.5,34.0,48.3%,22.2,40.4%,7.3,73.0%,4.5,81.8%,60.3,61.0%,1.3,28.3%,0.1,1.6,0.0,0.2,28.2,44.7%,15.0,33.6%,8.5,73.9%,4.7,67.1%,30,18.233,58.7%,0.4,29.3%,0.1,0.867,0.1,0.16699999999999998,11.333,48.3%,7.4,40.4%,2.4330000000000003,73.0%,1.5,81.8%,20.1,61.0%,0.43,28.3%,0.033,0.5329999999999999,0.0,0.067,9.4,44.7%,5.0,33.6%,2.833,73.9%,1.567,67.1%,143,3.825,58.7%,0.08,29.3%,0.021,0.182,0.021,0.035,2.378,48.3%,1.551,40.4%,0.51,73.0%,0.315,81.8%,4.217,61.0%,0.09,28.3%,0.006999999999999999,0.11199999999999999,0.0,0.013999999999999999,1.972,44.7%,1.0490000000000002,33.6%,0.594,73.9%,0.32899999999999996,67.1%
Darren Elkins,20,1739,54.4%,42,35.9%,2,40,1,1,791,37.7%,592,38.5%,167,63.0%,32,97.0%,1045,56.2%,19,42.2%,3,20,3,1,666,46.9%,472,40.7%,112,76.2%,82,81.2%,86.95,54.4%,2.1,35.9%,0.1,2.0,0.05,1.05,39.55,37.7%,29.6,38.5%,8.35,63.0%,1.6,97.0%,52.25,56.2%,0.95,42.2%,0.15,1.0,0.15,0.7,33.3,46.9%,23.6,40.7%,5.6,76.2%,4.1,81.2%,51,34.098,54.4%,0.82,35.9%,0.039,0.784,0.02,0.41200000000000003,15.51,37.7%,11.607999999999999,38.5%,3.275,63.0%,0.627,97.0%,20.49,56.2%,0.37,42.2%,0.059000000000000004,0.392,0.059000000000000004,0.275,13.059000000000001,46.9%,9.255,40.7%,2.1959999999999997,76.2%,1.608,81.2%,235,7.4,54.4%,0.18,35.9%,0.009000000000000001,0.17,0.004,0.08900000000000001,3.366,37.7%,2.5140000000000002,38.5%,0.711,63.0%,0.136,97.0%,4.447,56.2%,0.08,42.2%,0.013000000000000001,0.085,0.013000000000000001,0.06,2.8339999999999996,46.9%,2.009,40.7%,0.47700000000000004,76.2%,0.349,81.2%
Jake Ellenberger,21,609,47.0%,23,47.9%,11,6,3,1,417,39.3%,307,35.1%,72,71.3%,38,80.9%,794,50.8%,4,13.8%,9,14,5,1,478,39.3%,314,32.4%,88,64.2%,76,81.7%,29.0,47.0%,1.1,47.9%,0.524,0.28600000000000003,0.14300000000000002,0.19,19.857,39.3%,14.619000000000002,35.1%,3.429,71.3%,1.81,80.9%,37.81,50.8%,0.19,13.8%,0.429,0.667,0.23800000000000002,0.28600000000000003,22.761999999999997,39.3%,14.952,32.4%,4.19,64.2%,3.6189999999999998,81.7%,41,14.854000000000001,47.0%,0.56,47.9%,0.268,0.146,0.073,0.098,10.171,39.3%,7.4879999999999995,35.1%,1.756,71.3%,0.927,80.9%,19.366,50.8%,0.1,13.8%,0.22,0.341,0.122,0.146,11.659,39.3%,7.659,32.4%,2.146,64.2%,1.854,81.7%,168,3.625,47.0%,0.14,47.9%,0.065,0.036000000000000004,0.018000000000000002,0.024,2.4819999999999998,39.3%,1.817,35.1%,0.429,71.3%,0.226,80.9%,4.698,50.8%,0.02,13.8%,0.053,0.083,0.03,0.036000000000000004,2.8280000000000003,39.3%,1.858,32.4%,0.521,64.2%,0.45,81.7%
Joe Ellenberger,2,85,59.0%,6,40.0%,0,1,0,0,46,47.4%,30,38.0%,12,85.7%,4,100.0%,225,67.2%,0,-,2,1,0,0,98,51.9%,81,47.9%,11,100.0%,6,66.7%,42.5,59.0%,3.0,40.0%,0.0,0.5,0.0,1.0,23.0,47.4%,15.0,38.0%,6.0,85.7%,2.0,100.0%,112.5,67.2%,0.0,-,1.0,0.5,0.0,0.0,49.0,51.9%,40.5,47.9%,5.5,100.0%,3.0,66.7%,6,14.167,59.0%,1.0,40.0%,0.0,0.16699999999999998,0.0,0.33299999999999996,7.667000000000001,47.4%,5.0,38.0%,2.0,85.7%,0.667,100.0%,37.5,67.2%,0.0,-,0.33299999999999996,0.16699999999999998,0.0,0.0,16.333,51.9%,13.5,47.9%,1.8330000000000002,100.0%,1.0,66.7%,28,3.036,59.0%,0.21,40.0%,0.0,0.036000000000000004,0.0,0.071,1.643,47.4%,1.056,38.0%,0.429,85.7%,0.14300000000000002,100.0%,8.036,67.2%,0.0,-,0.071,0.036000000000000004,0.0,0.0,3.5,51.9%,2.8930000000000002,47.9%,0.39299999999999996,100.0%,0.214,66.7%
Ramazan Emeev,3,152,54.3%,6,33.3%,1,1,0,0,113,47.3%,78,40.8%,25,67.6%,10,90.9%,16,18.4%,1,20.0%,0,0,0,0,12,14.6%,5,7.7%,3,27.3%,4,66.7%,50.667,54.3%,2.0,33.3%,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,37.667,47.3%,26.0,40.8%,8.333,67.6%,3.333,90.9%,5.332999999999999,18.4%,0.33,20.0%,0.0,0.0,0.0,0.0,4.0,14.6%,1.6669999999999998,7.7%,1.0,27.3%,1.3330000000000002,66.7%,9,16.889,54.3%,0.67,33.3%,0.111,0.111,0.0,0.111,12.556,47.3%,8.667,40.8%,2.778,67.6%,1.111,90.9%,1.778,18.4%,0.11,20.0%,0.0,0.0,0.0,0.0,1.3330000000000002,14.6%,0.556,7.7%,0.33299999999999996,27.3%,0.444,66.7%,45,3.378,54.3%,0.13,33.3%,0.022000000000000002,0.022000000000000002,0.0,0.022000000000000002,2.511,47.3%,1.733,40.8%,0.556,67.6%,0.222,90.9%,0.35600000000000004,18.4%,0.02,20.0%,0.0,0.0,0.0,0.0,0.267,14.6%,0.111,7.7%,0.067,27.3%,0.08900000000000001,66.7%
Josh Emmett,7,305,38.9%,9,52.9%,6,3,0,0,277,37.3%,153,26.6%,67,67.0%,57,85.1%,344,40.2%,9,40.9%,1,1,0,0,286,36.6%,197,30.5%,51,58.0%,38,77.6%,43.571000000000005,38.9%,1.29,52.9%,0.857,0.429,0.0,0.14300000000000002,39.571,37.3%,21.857,26.6%,9.571,67.0%,8.142999999999999,85.1%,49.143,40.2%,1.29,40.9%,0.14300000000000002,0.14300000000000002,0.0,0.0,40.857,36.6%,28.143,30.5%,7.2860000000000005,58.0%,5.428999999999999,77.6%,18,16.944000000000003,38.9%,0.5,52.9%,0.33299999999999996,0.16699999999999998,0.0,0.055999999999999994,15.389000000000001,37.3%,8.5,26.6%,3.722,67.0%,3.167,85.1%,19.111,40.2%,0.5,40.9%,0.055999999999999994,0.055999999999999994,0.0,0.0,15.889000000000001,36.6%,10.944,30.5%,2.833,58.0%,2.1109999999999998,77.6%,86,3.5469999999999997,38.9%,0.1,52.9%,0.07,0.035,0.0,0.012,3.221,37.3%,1.776,26.6%,0.779,67.0%,0.6629999999999999,85.1%,4.0,40.2%,0.1,40.9%,0.012,0.012,0.0,0.0,3.326,36.6%,2.291,30.5%,0.593,58.0%,0.442,77.6%
Oliver Enkamp,2,52,40.6%,1,16.7%,0,0,0,0,41,36.3%,16,22.2%,15,60.0%,10,62.5%,75,66.4%,2,100.0%,1,3,1,0,61,62.2%,40,56.3%,10,83.3%,11,73.3%,26.0,40.6%,0.5,16.7%,0.0,0.0,0.0,0.0,20.5,36.3%,8.0,22.2%,7.5,60.0%,5.0,62.5%,37.5,66.4%,1.0,100.0%,0.5,1.5,0.5,0.0,30.5,62.2%,20.0,56.3%,5.0,83.3%,5.5,73.3%,4,13.0,40.6%,0.25,16.7%,0.0,0.0,0.0,0.0,10.25,36.3%,4.0,22.2%,3.75,60.0%,2.5,62.5%,18.75,66.4%,0.5,100.0%,0.25,0.75,0.25,0.0,15.25,62.2%,10.0,56.3%,2.5,83.3%,2.75,73.3%,17,3.0589999999999997,40.6%,0.06,16.7%,0.0,0.0,0.0,0.0,2.412,36.3%,0.93,22.2%,0.882,60.0%,0.588,62.5%,4.412,66.4%,0.12,100.0%,0.059000000000000004,0.17600000000000002,0.059000000000000004,0.0,3.588,62.2%,2.353,56.3%,0.588,83.3%,0.647,73.3%
Julian Erosa,3,135,61.9%,3,75.0%,0,2,0,0,81,50.9%,36,35.3%,38,79.2%,7,77.8%,168,60.4%,3,25.0%,2,1,0,0,92,48.7%,67,42.9%,9,90.0%,16,69.6%,45.0,61.9%,1.0,75.0%,0.0,0.667,0.0,0.667,27.0,50.9%,12.0,35.3%,12.667,79.2%,2.333,77.8%,56.0,60.4%,1.0,25.0%,0.667,0.33299999999999996,0.0,0.0,30.666999999999998,48.7%,22.333000000000002,42.9%,3.0,90.0%,5.332999999999999,69.6%,6,22.5,61.9%,0.5,75.0%,0.0,0.33299999999999996,0.0,0.33299999999999996,13.5,50.9%,6.0,35.3%,6.332999999999999,79.2%,1.167,77.8%,28.0,60.4%,0.5,25.0%,0.33299999999999996,0.16699999999999998,0.0,0.0,15.333,48.7%,11.167,42.9%,1.5,90.0%,2.667,69.6%,21,6.428999999999999,61.9%,0.14,75.0%,0.0,0.095,0.0,0.095,3.8569999999999998,50.9%,1.6880000000000002,35.3%,1.81,79.2%,0.33299999999999996,77.8%,8.0,60.4%,0.14,25.0%,0.095,0.048,0.0,0.0,4.381,48.7%,3.19,42.9%,0.429,90.0%,0.762,69.6%
Carla Esparza,8,701,59.9%,25,35.7%,0,15,2,1,243,38.4%,177,32.7%,37,72.5%,29,72.5%,521,56.3%,15,60.0%,0,23,3,0,339,46.9%,288,44.1%,43,72.9%,8,72.7%,87.625,59.9%,3.13,35.7%,0.0,1.875,0.25,0.375,30.375,38.4%,22.125,32.7%,4.625,72.5%,3.625,72.5%,65.125,56.3%,1.88,60.0%,0.0,2.875,0.375,0.25,42.375,46.9%,36.0,44.1%,5.375,72.9%,1.0,72.7%,23,30.478,59.9%,1.09,35.7%,0.0,0.652,0.087,0.13,10.565,38.4%,7.696000000000001,32.7%,1.609,72.5%,1.261,72.5%,22.651999999999997,56.3%,0.65,60.0%,0.0,1.0,0.13,0.087,14.739,46.9%,12.522,44.1%,1.87,72.9%,0.348,72.7%,110,6.372999999999999,59.9%,0.23,35.7%,0.0,0.136,0.018000000000000002,0.027000000000000003,2.209,38.4%,1.605,32.7%,0.336,72.5%,0.264,72.5%,4.736000000000001,56.3%,0.14,60.0%,0.0,0.209,0.027000000000000003,0.018000000000000002,3.082,46.9%,2.6180000000000003,44.1%,0.391,72.9%,0.073,72.7%
Rashad Evans,23,923,46.5%,53,42.4%,4,36,1,0,614,37.6%,484,34.1%,87,64.0%,43,81.1%,966,42.9%,14,26.4%,5,5,0,0,704,35.8%,439,30.3%,167,64.5%,98,75.4%,40.13,46.5%,2.3,42.4%,0.174,1.565,0.043,0.0,26.695999999999998,37.6%,21.043000000000003,34.1%,3.783,64.0%,1.87,81.1%,42.0,42.9%,0.61,26.4%,0.217,0.217,0.0,0.435,30.609,35.8%,19.087,30.3%,7.261,64.5%,4.261,75.4%,62,14.887,46.5%,0.85,42.4%,0.065,0.581,0.016,0.0,9.902999999999999,37.6%,7.806,34.1%,1.403,64.0%,0.6940000000000001,81.1%,15.581,42.9%,0.23,26.4%,0.081,0.081,0.0,0.161,11.355,35.8%,7.081,30.3%,2.694,64.5%,1.581,75.4%,288,3.205,46.5%,0.18,42.4%,0.013999999999999999,0.125,0.003,0.0,2.1319999999999997,37.6%,1.6769999999999998,34.1%,0.302,64.0%,0.149,81.1%,3.343,42.9%,0.05,26.4%,0.017,0.017,0.0,0.035,2.436,35.8%,1.5190000000000001,30.3%,0.578,64.5%,0.33899999999999997,75.4%
Ashlee Evans-Smith,8,422,42.8%,5,27.8%,0,5,0,0,326,37.3%,173,25.9%,96,69.1%,57,85.1%,339,41.7%,3,33.3%,0,1,0,2,253,35.4%,149,25.0%,44,83.0%,60,92.3%,52.75,42.8%,0.63,27.8%,0.0,0.625,0.0,0.0,40.75,37.3%,21.625,25.9%,12.0,69.1%,7.125,85.1%,42.375,41.7%,0.38,33.3%,0.0,0.125,0.0,0.375,31.625,35.4%,18.625,25.0%,5.5,83.0%,7.5,92.3%,17,24.824,42.8%,0.29,27.8%,0.0,0.294,0.0,0.0,19.176,37.3%,10.176,25.9%,5.647,69.1%,3.353,85.1%,19.941,41.7%,0.18,33.3%,0.0,0.059000000000000004,0.0,0.17600000000000002,14.882,35.4%,8.765,25.0%,2.588,83.0%,3.529,92.3%,80,5.275,42.8%,0.06,27.8%,0.0,0.063,0.0,0.0,4.075,37.3%,2.146,25.9%,1.2,69.1%,0.713,85.1%,4.185,41.7%,0.04,33.3%,0.0,0.012,0.0,0.037000000000000005,3.123,35.4%,1.84,25.0%,0.5429999999999999,83.0%,0.741,92.3%
Tonya Evinger,2,49,45.0%,1,20.0%,0,0,0,0,41,40.6%,15,24.6%,15,62.5%,11,68.8%,134,58.8%,0,0.0%,1,1,0,0,124,57.4%,81,49.1%,22,75.9%,21,95.5%,24.5,45.0%,0.5,20.0%,0.0,0.0,0.0,0.0,20.5,40.6%,7.5,24.6%,7.5,62.5%,5.5,68.8%,67.0,58.8%,0.0,0.0%,0.5,0.5,0.0,0.0,62.0,57.4%,40.5,49.1%,11.0,75.9%,10.5,95.5%,4,12.25,45.0%,0.25,20.0%,0.0,0.0,0.0,0.0,10.25,40.6%,3.75,24.6%,3.75,62.5%,2.75,68.8%,33.5,58.8%,0.0,0.0%,0.25,0.25,0.0,0.0,31.0,57.4%,20.25,49.1%,5.5,75.9%,5.25,95.5%,15,3.267,45.0%,0.07,20.0%,0.0,0.0,0.0,0.0,2.733,40.6%,0.976,24.6%,1.0,62.5%,0.733,68.8%,8.933,58.8%,0.0,0.0%,0.067,0.067,0.0,0.0,8.267000000000001,57.4%,5.4,49.1%,1.4669999999999999,75.9%,1.4,95.5%
Jessica Eye,11,696,43.9%,5,50.0%,0,8,0,0,513,36.9%,320,34.8%,91,62.3%,102,82.9%,827,49.0%,10,37.0%,1,15,0,0,513,38.1%,335,35.3%,93,71.0%,85,70.8%,63.273,43.9%,0.45,50.0%,0.0,0.727,0.0,0.636,46.636,36.9%,29.090999999999998,34.8%,8.273,62.3%,9.273,82.9%,75.182,49.0%,0.91,37.0%,0.091,1.364,0.0,0.636,46.636,38.1%,30.455,35.3%,8.455,71.0%,7.727,70.8%,32,21.75,43.9%,0.16,50.0%,0.0,0.25,0.0,0.21899999999999997,16.031,36.9%,10.0,34.8%,2.844,62.3%,3.188,82.9%,25.844,49.0%,0.31,37.0%,0.031,0.469,0.0,0.21899999999999997,16.031,38.1%,10.469000000000001,35.3%,2.906,71.0%,2.656,70.8%,156,4.462,43.9%,0.03,50.0%,0.0,0.051,0.0,0.045,3.2880000000000003,36.9%,2.045,34.8%,0.583,62.3%,0.654,82.9%,5.301,49.0%,0.06,37.0%,0.006,0.096,0.0,0.045,3.2880000000000003,38.1%,2.147,35.3%,0.596,71.0%,0.545,70.8%
Bartosz Fabinski,4,278,80.3%,22,71.0%,0,24,0,0,102,70.3%,63,60.6%,28,93.3%,11,100.0%,111,62.4%,1,100.0%,1,3,0,1,49,43.4%,47,43.9%,2,33.3%,0,-,69.5,80.3%,5.5,71.0%,0.0,6.0,0.0,0.0,25.5,70.3%,15.75,60.6%,7.0,93.3%,2.75,100.0%,27.75,62.4%,0.25,100.0%,0.25,0.75,0.0,1.25,12.25,43.4%,11.75,43.9%,0.5,33.3%,0.0,-,10,27.8,80.3%,2.2,71.0%,0.0,2.4,0.0,0.0,10.2,70.3%,6.3,60.6%,2.8,93.3%,1.1,100.0%,11.1,62.4%,0.1,100.0%,0.1,0.3,0.0,0.5,4.9,43.4%,4.7,43.9%,0.2,33.3%,0.0,-,46,6.042999999999999,80.3%,0.48,71.0%,0.0,0.522,0.0,0.0,2.217,70.3%,1.369,60.6%,0.609,93.3%,0.239,100.0%,2.4130000000000003,62.4%,0.02,100.0%,0.022000000000000002,0.065,0.0,0.109,1.065,43.4%,1.022,43.9%,0.043,33.3%,0.0,-
Paul Felder,13,539,48.2%,3,33.3%,3,5,0,1,444,43.7%,249,32.7%,97,69.3%,98,84.5%,419,54.4%,16,38.1%,1,21,1,0,312,48.9%,146,35.2%,94,74.0%,72,75.0%,41.461999999999996,48.2%,0.23,33.3%,0.231,0.385,0.0,0.231,34.154,43.7%,19.154,32.7%,7.462000000000001,69.3%,7.537999999999999,84.5%,32.231,54.4%,1.23,38.1%,0.077,1.615,0.077,0.077,24.0,48.9%,11.231,35.2%,7.231,74.0%,5.537999999999999,75.0%,30,17.967,48.2%,0.1,33.3%,0.1,0.16699999999999998,0.0,0.1,14.8,43.7%,8.3,32.7%,3.233,69.3%,3.267,84.5%,13.967,54.4%,0.53,38.1%,0.033,0.7,0.033,0.033,10.4,48.9%,4.867,35.2%,3.133,74.0%,2.4,75.0%,141,3.823,48.2%,0.02,33.3%,0.021,0.035,0.0,0.021,3.1489999999999996,43.7%,1.7619999999999998,32.7%,0.688,69.3%,0.695,84.5%,2.972,54.4%,0.11,38.1%,0.006999999999999999,0.149,0.006999999999999999,0.006999999999999999,2.213,48.9%,1.035,35.2%,0.667,74.0%,0.511,75.0%
Tony Ferguson,16,951,47.7%,6,42.9%,3,5,2,6,832,44.6%,534,36.3%,130,62.5%,168,81.6%,535,38.2%,10,25.0%,3,5,2,0,494,36.6%,320,28.6%,113,57.1%,61,77.2%,59.438,47.7%,0.38,42.9%,0.188,0.313,0.125,0.938,52.0,44.6%,33.375,36.3%,8.125,62.5%,10.5,81.6%,33.438,38.2%,0.63,25.0%,0.188,0.313,0.125,0.063,30.875,36.6%,20.0,28.6%,7.063,57.1%,3.813,77.2%,38,25.026,47.7%,0.16,42.9%,0.079,0.132,0.053,0.395,21.895,44.6%,14.052999999999999,36.3%,3.4210000000000003,62.5%,4.421,81.6%,14.079,38.2%,0.26,25.0%,0.079,0.132,0.053,0.026000000000000002,13.0,36.6%,8.421,28.6%,2.9739999999999998,57.1%,1.605,77.2%,176,5.403,47.7%,0.03,42.9%,0.017,0.027999999999999997,0.011000000000000001,0.085,4.727,44.6%,3.032,36.3%,0.7390000000000001,62.5%,0.955,81.6%,3.04,38.2%,0.06,25.0%,0.017,0.027999999999999997,0.011000000000000001,0.006,2.807,36.6%,1.818,28.6%,0.642,57.1%,0.34700000000000003,77.2%
Cezar Ferreira,14,512,57.0%,28,59.6%,2,19,0,3,258,42.6%,140,28.3%,68,54.0%,50,78.1%,353,52.2%,1,6.7%,5,0,2,0,228,42.9%,140,30.0%,38,60.3%,50,66.7%,36.571,57.0%,2.0,59.6%,0.14300000000000002,1.357,0.0,0.35700000000000004,18.429000000000002,42.6%,10.0,28.3%,4.857,54.0%,3.571,78.1%,25.214000000000002,52.2%,0.07,6.7%,0.35700000000000004,0.0,0.14300000000000002,0.071,16.285999999999998,42.9%,10.0,30.0%,2.714,60.3%,3.571,66.7%,31,16.516,57.0%,0.9,59.6%,0.065,0.613,0.0,0.161,8.323,42.6%,4.516,28.3%,2.194,54.0%,1.6130000000000002,78.1%,11.387,52.2%,0.03,6.7%,0.161,0.0,0.065,0.032,7.355,42.9%,4.516,30.0%,1.226,60.3%,1.6130000000000002,66.7%,131,3.908,57.0%,0.21,59.6%,0.015,0.145,0.0,0.038,1.969,42.6%,1.0659999999999998,28.3%,0.519,54.0%,0.382,78.1%,2.695,52.2%,0.01,6.7%,0.038,0.0,0.015,0.008,1.74,42.9%,1.069,30.0%,0.29,60.3%,0.382,66.7%
Andre Fili,14,570,41.8%,23,46.0%,3,12,3,0,459,37.0%,314,31.5%,75,66.4%,70,80.5%,698,51.8%,14,29.8%,1,16,8,2,535,45.8%,311,35.5%,107,60.5%,117,92.9%,40.714,41.8%,1.64,46.0%,0.214,0.857,0.214,0.14300000000000002,32.786,37.0%,22.429000000000002,31.5%,5.357,66.4%,5.0,80.5%,49.857,51.8%,1.0,29.8%,0.071,1.143,0.5710000000000001,0.429,38.214,45.8%,22.214000000000002,35.5%,7.643,60.5%,8.357000000000001,92.9%,33,17.273,41.8%,0.7,46.0%,0.091,0.364,0.091,0.061,13.909,37.0%,9.515,31.5%,2.273,66.4%,2.121,80.5%,21.151999999999997,51.8%,0.42,29.8%,0.03,0.485,0.242,0.182,16.212,45.8%,9.424,35.5%,3.242,60.5%,3.545,92.9%,153,3.725,41.8%,0.15,46.0%,0.02,0.078,0.02,0.013000000000000001,3.0,37.0%,2.049,31.5%,0.49,66.4%,0.45799999999999996,80.5%,4.562,51.8%,0.09,29.8%,0.006999999999999999,0.105,0.052000000000000005,0.039,3.497,45.8%,2.033,35.5%,0.6990000000000001,60.5%,0.765,92.9%
Rob Font,9,435,42.2%,7,33.3%,5,5,1,1,402,40.5%,282,34.0%,84,71.2%,36,78.3%,406,42.2%,7,70.0%,0,10,1,1,316,36.7%,192,28.9%,51,56.0%,73,70.2%,48.333,42.2%,0.78,33.3%,0.556,0.556,0.111,0.556,44.667,40.5%,31.333000000000002,34.0%,9.333,71.2%,4.0,78.3%,45.111000000000004,42.2%,0.78,70.0%,0.0,1.111,0.111,0.111,35.111,36.7%,21.333000000000002,28.9%,5.667000000000001,56.0%,8.111,70.2%,18,24.166999999999998,42.2%,0.39,33.3%,0.278,0.278,0.055999999999999994,0.278,22.333000000000002,40.5%,15.667,34.0%,4.667,71.2%,2.0,78.3%,22.555999999999997,42.2%,0.39,70.0%,0.0,0.556,0.055999999999999994,0.055999999999999994,17.555999999999997,36.7%,10.667,28.9%,2.833,56.0%,4.056,70.2%,81,5.37,42.2%,0.09,33.3%,0.062,0.062,0.012,0.062,4.963,40.5%,3.466,34.0%,1.037,71.2%,0.444,78.3%,5.012,42.2%,0.09,70.0%,0.0,0.12300000000000001,0.012,0.012,3.9010000000000002,36.7%,2.37,28.9%,0.63,56.0%,0.9009999999999999,70.2%
