,Fighter,Date,Event,Class,Opponent,Method,Result,Last_Round,Round_Time
1160,Tim Means,7/26/2014,UFC on Fox 12,Welterweight,Hernani Perpetuo,Decision - Unanimous,Win,R3,0:00
1161,Tim Means,5/10/2014,UFC Fight Night 40: Brown vs. Silva,Welterweight,Neil Magny,Decision - Unanimous,Loss,R3,0:00
1162,Tim Means,7/27/2013,UFC on Fox 8,Lightweight,Danny Castillo,Decision - Unanimous,Loss,R3,0:00
1163,Tim Means,4/20/2013,UFC on Fox 7,Lightweight,Jorge Masvidal,Decision - Unanimous,Loss,R3,0:00
1164,Tim Means,6/8/2012,UFC on FX 3,Lightweight,Justin Salas,KO/TKO,Win,R1,1:06
1165,Tim Means,2/15/2012,UFC on FUEL TV 1,Lightweight,Bernardo Magalhaes,Decision - Unanimous,Win,R3,0:00
1166,Iuri Alcantara,8/25/2018,UFC Fight Night: Gaethje vs. Vick,Bantamweight,Cory Sandhagen,KO/TKO,Loss,R2,1:01
1167,Iuri Alcantara,2/3/2018,UFC Fight Night: Machida vs. Anders,Bantamweight,Joe Soto,KO/TKO,Win,R1,1:06
1168,Iuri Alcantara,12/9/2017,UFC Fight Night: Swanson vs. Ortega,Bantamweight,Alejandro Perez,Decision - Unanimous,Loss,R3,0:00
1169,Iuri Alcantara,6/3/2017,UFC 212: Aldo vs. Holloway,Bantamweight,Brian Kelleher,Submission,Loss,R1,1:48
1170,Iuri Alcantara,3/4/2017,UFC 209: Woodley vs. Thompson 2,Bantamweight,Luke Sanders,Submission,Win,R2,3:13
1171,Iuri Alcantara,10/8/2016,UFC 204: Bisping vs. Henderson,Bantamweight,Brad Pickett,Submission,Win,R1,1:59
1172,Iuri Alcantara,1/30/2016,UFC Fight Night: Johnson vs. Bader,Bantamweight,Jimmie Rivera,Decision - Unanimous,Loss,R3,0:00
1173,Iuri Alcantara,8/1/2015,UFC 190: Rousey vs Correia,Bantamweight,Leandro Issa,Decision - Unanimous,Win,R3,0:00
1174,Iuri Alcantara,2/22/2015,UFC Fight Night: Bigfoot vs Mir,Bantamweight,Frankie Saenz,Decision - Unanimous,Loss,R3,0:00
1175,Iuri Alcantara,9/13/2014,UFC Fight Night: Silva vs Arlovski,Bantamweight,Russell Doane,Decision - Unanimous,Win,R3,0:00
1176,Iuri Alcantara,5/31/2014,UFC Fight Night 41: Munoz vs. Mousasi,Bantamweight,Vaughan Lee,KO/TKO,Win,R1,0:25
1177,Iuri Alcantara,2/15/2014,UFC Fight Night 36: Machida vs. Mousasi,Bantamweight,Wilson Reis,Decision - Split,Win,R3,0:00
1178,Iuri Alcantara,8/17/2013,UFC Fight Night 26: Shogun vs. Sonnen,Bantamweight,Urijah Faber,Decision - Unanimous,Loss,R3,0:00
1179,Iuri Alcantara,5/18/2013,UFC on FX 8,Bantamweight,Iliarde Santos,KO/TKO,Win,R1,2:31
1180,Iuri Alcantara,1/19/2013,UFC on FX 7,Bantamweight,Pedro Nobre,Could Not Continue,Draw,R1,2:11
1181,Iuri Alcantara,6/23/2012,UFC 147: Silva vs. Franklin 2,Featherweight,Hacran Dias,Decision - Unanimous,Loss,R3,0:00
1182,Iuri Alcantara,1/14/2012,UFC 142: Aldo vs. Mendes,Featherweight,Michihiro Omigawa,Decision - Unanimous,Win,R3,0:00
1183,Iuri Alcantara,8/27/2011,UFC 134: Silva vs. Okami,Featherweight,Felipe Arantes,Decision - Unanimous,Win,R3,0:00
1184,Junior Dos Santos,12/1/2018,UFC Fight Night: Dos Santos vs. Tuivasa,Heavyweight,Tai Tuivasa,KO/TKO,Win,R2,2:30
1185,Junior Dos Santos,7/14/2018,UFC Fight Night: Dos Santos vs. Ivanov,Heavyweight,Blagoy Ivanov,Decision - Unanimous,Win,R5,0:00
1186,Junior Dos Santos,5/13/2017,UFC 211: Miocic vs. Dos Santos,Heavyweight,Stipe Miocic,KO/TKO,Title Loss,R1,2:22
1187,Junior Dos Santos,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,Heavyweight,Ben Rothwell,Decision - Unanimous,Win,R5,0:00
1188,Junior Dos Santos,12/19/2015,UFC on FOX: Dos Anjos vs. Cowboy 2,Heavyweight,Alistair Overeem,KO/TKO,Loss,R2,4:43
1189,Junior Dos Santos,12/13/2014,UFC Fight Night: Dos Santos vs Miocic,Heavyweight,Stipe Miocic,Decision - Unanimous,Win,R5,0:00
1190,Junior Dos Santos,10/19/2013,UFC 166: Velasquez vs. Dos Santos 3,Heavyweight,Cain Velasquez,KO/TKO,Title Loss,R5,3:09
1191,Junior Dos Santos,5/25/2013,UFC 160: Velasquez vs. Silva 2,Heavyweight,Mark Hunt,KO/TKO,Win,R3,4:18
1192,Junior Dos Santos,12/29/2012,UFC 155: Dos Santos vs. Velasquez 2,Heavyweight,Cain Velasquez,Decision - Unanimous,Title Loss,R5,0:00
1193,Junior Dos Santos,5/26/2012,UFC 146: Dos Santos vs. Mir,Heavyweight,Frank Mir,KO/TKO,Title Win,R2,3:04
1194,Junior Dos Santos,11/12/2011,UFC on Fox 1,Heavyweight,Cain Velasquez,KO/TKO,Title Win,R1,1:04
1195,Junior Dos Santos,6/11/2011,UFC 131: Dos Santos vs. Carwin,Heavyweight,Shane Carwin,Decision - Unanimous,Win,R3,0:00
1196,Junior Dos Santos,8/7/2010,UFC 117: Silva vs. Sonnen,Heavyweight,Roy Nelson,Decision - Unanimous,Win,R3,0:00
1197,Junior Dos Santos,3/21/2010,UFC on Versus 1,Heavyweight,Gabriel Gonzaga,KO/TKO,Win,R1,3:53
1198,Junior Dos Santos,1/2/2010,UFC 108: Evans vs. Silva,Heavyweight,Gilbert Yvel,KO/TKO,Win,R1,2:07
1199,Junior Dos Santos,9/19/2009,UFC 103: Franklin vs. Belfort,Heavyweight,Mirko Cro Cop,KO/TKO,Win,R3,2:00
1200,Junior Dos Santos,2/21/2009,UFC 95: Sanchez vs. Stevenson,Heavyweight,Stefan Struve,KO/TKO,Win,R1,0:54
1201,Junior Dos Santos,10/25/2008,UFC 90: Silva vs. Cote,Heavyweight,Fabricio Werdum,KO/TKO,Win,R1,1:21
1202,Demetrious Johnson,8/4/2018,UFC 227: Dillashaw vs. Garbrandt 2,Flyweight,Henry Cejudo,Decision - Split,Title Loss,R5,0:00
1203,Demetrious Johnson,10/7/2017,UFC 216: Ferguson vs. Lee,Flyweight,Ray Borg,Submission,Title Win,R5,3:15
1204,Demetrious Johnson,4/15/2017,UFC Fight Night: Johnson vs. Reis,Flyweight,Wilson Reis,Submission,Title Win,R3,4:49
1205,Demetrious Johnson,12/3/2016,The Ultimate Fighter 24 Finale,Flyweight,Tim Elliott,Decision - Unanimous,Title Win,R5,0:00
1206,Demetrious Johnson,4/23/2016,UFC 197: Jones vs Saint Preux,Flyweight,Henry Cejudo,KO/TKO,Title Win,R1,2:49
1207,Demetrious Johnson,9/5/2015,UFC 191: Johnson vs Dodson 2,Flyweight,John Dodson,Decision - Unanimous,Title Win,R5,0:00
1208,Demetrious Johnson,4/25/2015,UFC 186: Johnson vs Horiguchi,Flyweight,Kyoji Horiguchi,Submission,Title Win,R5,4:59
1209,Demetrious Johnson,9/27/2014,UFC 178: Johnson vs Cariaso,Flyweight,Chris Cariaso,Submission,Title Win,R2,2:29
1210,Demetrious Johnson,6/14/2014,UFC 174: Johnson vs. Bagautinov,Flyweight,Ali Bagautinov,Decision - Unanimous,Title Win,R5,0:00
1211,Demetrious Johnson,12/14/2013,UFC on Fox 9,Flyweight,Joseph Benavidez,KO/TKO,Title Win,R1,2:08
1212,Demetrious Johnson,7/27/2013,UFC on Fox 8,Flyweight,John Moraga,Submission,Title Win,R5,3:43
1213,Demetrious Johnson,1/26/2013,UFC on Fox 6,Flyweight,John Dodson,Decision - Unanimous,Title Win,R5,0:00
1214,Demetrious Johnson,9/22/2012,UFC 152: Jones vs. Belfort,Flyweight,Joseph Benavidez,Decision - Split,Title Win,R5,0:00
1215,Demetrious Johnson,6/8/2012,UFC on FX 3,Flyweight,Ian McCall,Decision - Unanimous,Win,R3,0:00
1216,Demetrious Johnson,3/2/2012,UFC on FX 2,Flyweight,Ian McCall,Decision - Majority,Draw,R3,5:00
1217,Demetrious Johnson,10/1/2011,UFC on Versus 6,Bantamweight,Dominick Cruz,Decision - Unanimous,Title Loss,R5,0:00
1218,Demetrious Johnson,5/28/2011,UFC 130: Rampage vs. Hamill,Bantamweight,Miguel Torres,Decision - Unanimous,Win,R3,0:00
1219,Demetrious Johnson,2/5/2011,UFC 126: Silva vs. Belfort,Bantamweight,Norifumi Yamamoto,Decision - Unanimous,Win,R3,0:00
1220,Ovince Saint Preux,10/6/2018,UFC 229: Khabib vs. McGregor,Light Heavyweight,Dominick Reyes,Decision - Unanimous,Loss,R3,0:00
1221,Ovince Saint Preux,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Light Heavyweight,Tyson Pedro,Submission,Win,R1,2:54
1222,Ovince Saint Preux,2/24/2018,UFC Fight Night: Emmett vs. Stephens,Light Heavyweight,Ilir Latifi,Submission,Loss,R1,3:48
1223,Ovince Saint Preux,11/4/2017,UFC 217: Bisping vs. St-Pierre,Light Heavyweight,Corey Anderson,KO/TKO,Win,R3,1:25
1224,Ovince Saint Preux,9/22/2017,UFC Fight Night: Saint Preux vs. Okami,Light Heavyweight,Yushin Okami,Submission,Win,R1,1:50
1225,Ovince Saint Preux,4/22/2017,UFC Fight Night: Swanson vs. Lobov,Light Heavyweight,Marcos Rogerio de Lima,Submission,Win,R2,2:11
1226,Ovince Saint Preux,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,Light Heavyweight,Volkan Oezdemir,Decision - Split,Loss,R3,0:00
1227,Ovince Saint Preux,10/8/2016,UFC 204: Bisping vs. Henderson,Light Heavyweight,Jimi Manuwa,KO/TKO,Loss,R2,2:38
1228,Ovince Saint Preux,4/23/2016,UFC 197: Jones vs Saint Preux,Light Heavyweight,Jon Jones,Decision - Unanimous,Title Loss,R5,0:00
1229,Ovince Saint Preux,2/6/2016,UFC Fight Night: Hendricks vs Thompson,Light Heavyweight,Rafael Feijao,Decision - Unanimous,Win,R3,0:00
1230,Ovince Saint Preux,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,Light Heavyweight,Glover Teixeira,Submission,Loss,R3,3:10
1231,Ovince Saint Preux,4/18/2015,UFC Fight Night: Machida vs Rockhold,Light Heavyweight,Patrick Cummins,KO/TKO,Win,R1,4:54
1232,Ovince Saint Preux,11/8/2014,UFC Fight Night 56: Shogun vs Saint Preux,Light Heavyweight,Mauricio Rua,KO/TKO,Win,R1,0:34
1233,Ovince Saint Preux,8/16/2014,UFC Fight Night 47: Bader vs. Saint Preux,Light Heavyweight,Ryan Bader,Decision - Unanimous,Loss,R5,0:00
1234,Ovince Saint Preux,6/14/2014,UFC 174: Johnson vs. Bagautinov,Light Heavyweight,Ryan Jimmo,KO/TKO,Win,R2,2:10
1235,Ovince Saint Preux,3/15/2014,UFC 171: Hendricks vs. Lawler,Light Heavyweight,Nikita Krylov,Submission,Win,R1,1:29
1236,Ovince Saint Preux,8/17/2013,UFC Fight Night 26: Shogun vs. Sonnen,Light Heavyweight,Cody Donovan,KO/TKO,Win,R1,2:07
1237,Ovince Saint Preux,4/27/2013,UFC 159: Jones vs. Sonnen,Light Heavyweight,Gian Villante,Decision - Majority,Win,R3,0:33
1238,Francisco Trinaldo,9/22/2018,UFC Fight Night: Marreta vs. Anders,Lightweight,Evan Dunham,KO/TKO,Win,R2,4:10
1239,Francisco Trinaldo,2/18/2018,UFC Fight Night: Cerrone vs. Medeiros,Lightweight,James Vick,Decision - Unanimous,Loss,R3,0:00
1240,Francisco Trinaldo,10/28/2017,UFC Fight Night: Brunson vs. Machida,Lightweight,Jim Miller,Decision - Unanimous,Win,R3,0:00
1241,Francisco Trinaldo,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,Lightweight,Kevin Lee,Submission,Loss,R2,3:12
1242,Francisco Trinaldo,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,Lightweight,Paul Felder,TKO - Doctor's Stoppage,Win,R3,2:25
1243,Francisco Trinaldo,5/14/2016,UFC 198: Werdum vs Miocic,Lightweight,Yancy Medeiros,Decision - Unanimous,Win,R3,0:00
1244,Francisco Trinaldo,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,Lightweight,Ross Pearson,Decision - Unanimous,Win,R3,0:00
1245,Francisco Trinaldo,8/23/2015,UFC Fight Night: Holloway vs Oliveira,Lightweight,Chad Laprise,KO/TKO,Win,R1,2:43
1246,Francisco Trinaldo,5/30/2015,UFC Fight Night: Condit vs Alves,Lightweight,Norman Parke,Decision - Unanimous,Win,R3,0:00
1247,Francisco Trinaldo,3/21/2015,UFC Fight Night: Maia vs LaFlare,Lightweight,Akbarh Arreola,Decision - Unanimous,Win,R3,0:00
1248,Francisco Trinaldo,9/13/2014,UFC Fight Night: Silva vs Arlovski,Lightweight,Leandro Silva,Decision - Unanimous,Win,R3,0:00
1249,Francisco Trinaldo,5/24/2014,UFC 173: Barao vs. Dillashaw,Lightweight,Michael Chiesa,Decision - Unanimous,Loss,R3,0:00
1250,Francisco Trinaldo,2/15/2014,UFC Fight Night 36: Machida vs. Mousasi,Lightweight,Jesse Ronson,Decision - Split,Win,R3,0:00
1251,Francisco Trinaldo,9/4/2013,UFC Fight Night 28: Teixeira vs. Bader,Lightweight,Piotr Hallmann,Submission,Loss,R2,3:50
1252,Francisco Trinaldo,5/18/2013,UFC on FX 8,Lightweight,Mike Rio,Submission,Win,R1,3:08
1253,Francisco Trinaldo,1/19/2013,UFC on FX 7,Lightweight,CJ Keith,Submission,Win,R2,1:50
1254,Francisco Trinaldo,10/13/2012,UFC 153: Silva vs. Bonnar,Lightweight,Gleison Tibau,Decision - Unanimous,Loss,R3,0:00
1255,Francisco Trinaldo,6/23/2012,UFC 147: Silva vs. Franklin 2,Middleweight,Delson Heleno,KO/TKO,Win,R1,4:21
1256,Ben Saunders,11/3/2018,UFC 230: Cormier vs. Lewis,Welterweight,Lyman Good,KO/TKO,Loss,R1,1:32
1257,Ben Saunders,9/22/2018,UFC Fight Night: Marreta vs. Anders,Welterweight,Sergio Moraes,Submission,Loss,R2,4:42
1258,Ben Saunders,6/1/2018,UFC Fight Night: Rivera vs. Moraes,Welterweight,Jake Ellenberger,KO/TKO,Win,R1,1:56
1259,Ben Saunders,2/24/2018,UFC Fight Night: Emmett vs. Stephens,Welterweight,Alan Jouban,KO/TKO,Loss,R2,2:38
1260,Ben Saunders,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Welterweight,Peter Sobotta,KO/TKO,Loss,R2,2:29
1261,Ben Saunders,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,Welterweight,Court McGee,Decision - Unanimous,Win,R3,0:00
1262,Ben Saunders,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,Welterweight,Patrick Cote,KO/TKO,Loss,R2,1:14
1263,Ben Saunders,7/25/2015,UFC on FOX: Dillashaw vs. Barao II,Welterweight,Kenny Robertson,Decision - Split,Win,R3,0:00
1264,Ben Saunders,12/13/2014,UFC Fight Night: Dos Santos vs Miocic,Welterweight,Joe Riggs,Submission,Win,R1,0:57
1265,Ben Saunders,8/23/2014,UFC Fight Night 49: Henderson vs. Dos Anjos,Welterweight,Chris Heatherly,Submission,Win,R1,2:18
1266,Ben Saunders,8/7/2010,UFC 117: Silva vs. Sonnen,Welterweight,Dennis Hallman,Decision - Unanimous,Loss,R3,0:00
1267,Ben Saunders,3/27/2010,UFC 111: St. Pierre vs. Hardy,Welterweight,Jon Fitch,Decision - Unanimous,Loss,R3,0:00
1268,Ben Saunders,11/21/2009,UFC 106: Ortiz vs. Griffin 2,Welterweight,Marcus Davis,KO/TKO,Win,R1,3:24
1269,Ben Saunders,6/13/2009,UFC 99: The Comeback,Welterweight,Mike Swick,KO/TKO,Loss,R2,3:47
1270,Ben Saunders,12/10/2008,UFC Fight Night 16 - Fight for the Troops,Welterweight,Brandon Wolff,KO/TKO,Win,R1,1:49
1271,Ben Saunders,8/9/2008,UFC 87: Seek And Destroy,Welterweight,Ryan Thomas,Submission,Win,R2,2:28
1272,Ben Saunders,12/8/2007,UFC - TUF 6 Finale,Welterweight,Dan Barrera,Decision - Unanimous,Win,R3,0:00
1273,Joseph Benavidez,11/30/2018,UFC - TUF 28 Finale,Flyweight,Alex Perez,KO/TKO,Win,R1,4:19
1274,Joseph Benavidez,6/9/2018,UFC 225: Whittaker vs. Romero 2,Flyweight,Sergio Pettis,Decision - Split,Loss,R3,0:00
1275,Joseph Benavidez,12/3/2016,The Ultimate Fighter 24 Finale,Flyweight,Henry Cejudo,Decision - Split,Win,R3,0:00
1276,Joseph Benavidez,2/6/2016,UFC Fight Night: Hendricks vs Thompson,Flyweight,Zach Makovsky,Decision - Unanimous,Win,R3,0:00
1277,Joseph Benavidez,10/3/2015,UFC 192: Cormier vs Gustafsson,Flyweight,Ali Bagautinov,Decision - Unanimous,Win,R3,0:00
1278,Joseph Benavidez,5/23/2015,UFC 187: Johnson vs Cormier,Flyweight,John Moraga,Decision - Unanimous,Win,R3,0:00
1279,Joseph Benavidez,11/22/2014,UFC Fight Night: Edgar vs Swanson,Flyweight,Dustin Ortiz,Decision - Unanimous,Win,R3,0:00
1280,Joseph Benavidez,4/26/2014,UFC 172: Jones vs. Teixeira,Flyweight,Tim Elliott,Submission,Win,R1,4:08
1281,Joseph Benavidez,12/14/2013,UFC on Fox 9,Flyweight,Demetrious Johnson,KO/TKO,Title Loss,R1,2:08
1282,Joseph Benavidez,9/4/2013,UFC Fight Night 28: Teixeira vs. Bader,Flyweight,Jussier Formiga,KO/TKO,Win,R1,3:07
1283,Joseph Benavidez,4/20/2013,UFC on Fox 7,Flyweight,Darren Uyenoyama,KO/TKO,Win,R2,4:50
1284,Joseph Benavidez,2/2/2013,UFC 156: Aldo vs. Edgar,Flyweight,Ian McCall,Decision - Unanimous,Win,R3,0:00
1285,Joseph Benavidez,9/22/2012,UFC 152: Jones vs. Belfort,Flyweight,Demetrious Johnson,Decision - Split,Title Loss,R5,0:00
1286,Joseph Benavidez,3/2/2012,UFC on FX 2,Flyweight,Yasuhiro Urushitani,KO/TKO,Win,R2,0:11
1287,Joseph Benavidez,8/14/2011,UFC on Versus 5,Bantamweight,Eddie Wineland,Decision - Unanimous,Win,R3,0:00
1288,Joseph Benavidez,3/19/2011,UFC 128: Shogun vs. Jones,Bantamweight,Ian Loveland,Decision - Unanimous,Win,R3,0:00
1289,Travis Browne,7/8/2017,UFC 213: Romero vs. Whittaker,Heavyweight,Aleksei Oleinik,Submission,Loss,R2,3:44
1290,Travis Browne,2/19/2017,UFC Fight Night: Lewis vs. Browne,Heavyweight,Derrick Lewis,KO/TKO,Loss,R2,3:12
1291,Travis Browne,9/10/2016,UFC 203: Miocic vs. Overeem,Heavyweight,Fabricio Werdum,Decision - Unanimous,Loss,R3,0:00
1292,Travis Browne,7/9/2016,UFC 200: Tate vs Nunes,Heavyweight,Cain Velasquez,KO/TKO,Loss,R1,4:57
1293,Travis Browne,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,Heavyweight,Matt Mitrione,KO/TKO,Win,R3,4:09
1294,Travis Browne,5/23/2015,UFC 187: Johnson vs Cormier,Heavyweight,Andrei Arlovski,KO/TKO,Loss,R1,4:41
1295,Travis Browne,12/6/2014,UFC 181: Hendricks vs Lawler II,Heavyweight,Brendan Schaub,KO/TKO,Win,R1,4:50
1296,Travis Browne,4/19/2014,UFC on Fox 11,Heavyweight,Fabricio Werdum,Decision - Unanimous,Loss,R5,0:00
1297,Travis Browne,12/28/2013,UFC 168: Weidman vs. Silva 2,Heavyweight,Josh Barnett,KO/TKO,Win,R1,1:00
1298,Travis Browne,8/17/2013,UFC Fight Night 26: Shogun vs. Sonnen,Heavyweight,Alistair Overeem,KO/TKO,Win,R1,4:08
1299,Travis Browne,4/13/2013,UFC - TUF 17 Finale,Heavyweight,Gabriel Gonzaga,KO/TKO,Win,R1,1:11
1300,Travis Browne,10/5/2012,UFC on FX 5,Heavyweight,Antonio Silva,KO/TKO,Loss,R1,3:27
1301,Travis Browne,4/21/2012,UFC 145: Jones vs. Evans,Heavyweight,Chad Griggs,Submission,Win,R1,2:29
1302,Travis Browne,9/24/2011,UFC 135: Jones vs. Rampage,Heavyweight,Rob Broughton,Decision - Unanimous,Win,R3,0:00
1303,Travis Browne,5/28/2011,UFC 130: Rampage vs. Hamill,Heavyweight,Stefan Struve,KO/TKO,Win,R1,4:11
1304,Travis Browne,10/16/2010,UFC 120: Bisping vs. Akiyama,Heavyweight,Cheick Kongo,Decision - Unanimous,Draw,R3,0:00
1305,Travis Browne,6/19/2010,UFC - TUF 11 Finale,Heavyweight,James McSweeney,KO/TKO,Win,R1,4:32
1306,TJ Dillashaw,1/19/2019,UFC Fight Night: Cejudo vs. Dillashaw,Flyweight,Henry Cejudo,,,,
1307,TJ Dillashaw,8/4/2018,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,Cody Garbrandt,KO/TKO,Title Win,R1,4:10
1308,TJ Dillashaw,11/4/2017,UFC 217: Bisping vs. St-Pierre,Bantamweight,Cody Garbrandt,KO/TKO,Title Win,R2,2:41
1309,TJ Dillashaw,12/30/2016,UFC 207: Nunes vs. Rousey,Bantamweight,John Lineker,Decision - Unanimous,Win,R3,0:00
1310,TJ Dillashaw,7/9/2016,UFC 200: Tate vs Nunes,Bantamweight,Raphael Assuncao,Decision - Unanimous,Win,R3,0:00
1311,TJ Dillashaw,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,Bantamweight,Dominick Cruz,Decision - Split,Title Loss,R5,0:00
1312,TJ Dillashaw,7/25/2015,UFC on FOX: Dillashaw vs. Barao II,Bantamweight,Renan Barao,KO/TKO,Title Win,R4,0:35
1313,TJ Dillashaw,8/30/2014,UFC 177: Dillashaw vs. Soto,Bantamweight,Joe Soto,KO/TKO,Title Win,R5,2:20
1314,TJ Dillashaw,5/24/2014,UFC 173: Barao vs. Dillashaw,Bantamweight,Renan Barao,KO/TKO,Title Win,R5,2:26
1315,TJ Dillashaw,5/24/2014,UFC 173: Barao vs. Dillashaw,Bantamweight,Renan Barao,KO/TKO,Title Win,R5,2:26
1316,TJ Dillashaw,1/15/2014,UFC Fight Night 35: Rockhold vs. Philippou,Bantamweight,Mike Easton,Decision - Unanimous,Win,R3,0:00
1317,TJ Dillashaw,10/9/2013,UFC Fight Night 29: Maia vs. Shields,Bantamweight,Raphael Assuncao,Decision - Split,Loss,R3,0:00
1318,TJ Dillashaw,4/20/2013,UFC on Fox 7,Bantamweight,Hugo Viana,KO/TKO,Win,R1,4:22
1319,TJ Dillashaw,3/16/2013,UFC 158: St-Pierre vs. Diaz,Bantamweight,Issei Tamura,KO/TKO,Win,R2,0:26
1320,TJ Dillashaw,7/11/2012,UFC on FUEL TV 4,Bantamweight,Vaughan Lee,Submission,Win,R1,2:33
1321,TJ Dillashaw,2/15/2012,UFC on FUEL TV 1,Bantamweight,Walel Watson,Decision - Unanimous,Win,R3,0:00
1322,TJ Dillashaw,12/3/2011,UFC - TUF 14 Finale,Bantamweight,John Dodson,KO/TKO,Title Loss,R1,1:54
1323,Rafael Natal,7/22/2017,UFC Fight Night: Weidman vs. Gastelum,Middleweight,Eryk Anders,KO/TKO,Loss,R1,2:54
1324,Rafael Natal,11/12/2016,UFC 205: Alvarez vs McGregor,Middleweight,Tim Boetsch,KO/TKO,Loss,R1,3:22
1325,Rafael Natal,4/23/2016,UFC 197: Jones vs Saint Preux,Middleweight,Robert Whittaker,Decision - Unanimous,Loss,R3,0:00
1326,Rafael Natal,1/30/2016,UFC Fight Night: Johnson vs. Bader,Middleweight,Kevin Casey,KO/TKO,Win,R3,3:37
1327,Rafael Natal,5/23/2015,UFC 187: Johnson vs Cormier,Middleweight,Uriah Hall,Decision - Split,Win,R3,0:00
1328,Rafael Natal,1/31/2015,UFC 183: Silva vs Diaz,Middleweight,Tom Watson,Decision - Unanimous,Win,R3,0:00
1329,Rafael Natal,9/5/2014,UFC Fight Night 50: Souza vs. Mousasi,Middleweight,Chris Camozzi,Decision - Split,Win,R3,0:00
1330,Rafael Natal,5/10/2014,UFC Fight Night 40: Brown vs. Silva,Middleweight,Ed Herman,Decision - Unanimous,Loss,R3,0:00
1331,Rafael Natal,11/6/2013,UFC Fight Night 31: Fight for the Troops 3,Middleweight,Tim Kennedy,KO/TKO,Loss,R1,4:40
1332,Rafael Natal,9/4/2013,UFC Fight Night 28: Teixeira vs. Bader,Middleweight,Tor Troeng,Decision - Unanimous,Win,R3,0:00
1333,Rafael Natal,5/18/2013,UFC on FX 8,Middleweight,Joao Zeferino,Decision - Unanimous,Win,R3,0:00
1334,Rafael Natal,1/26/2013,UFC on Fox 6,Middleweight,Sean Spencer,Submission,Win,R3,2:13
1335,Rafael Natal,7/11/2012,UFC on FUEL TV 4,Middleweight,Andrew Craig,KO/TKO,Loss,R2,4:52
1336,Rafael Natal,2/4/2012,UFC 143: Diaz vs. Condit,Middleweight,Michael Kuiper,Decision - Unanimous,Win,R3,0:00
1337,Rafael Natal,8/6/2011,UFC 133: Evans vs. Ortiz 2,Middleweight,Paul Bradley,Decision - Unanimous,Win,R3,0:00
1338,Rafael Natal,12/11/2010,UFC 124: St. Pierre vs. Koscheck 2,Middleweight,Jesse Bongfeldt,Decision - Majority,Draw,R3,0:00
1339,Rafael Natal,9/15/2010,UFC Fight Night 22,Middleweight,Rich Attonito,Decision - Unanimous,Loss,R3,0:00
1340,Thiago Santos,12/8/2018,UFC 231: Holloway vs. Ortega,Light Heavyweight,Jimi Manuwa,KO/TKO,Win,R2,0:41
1341,Thiago Santos,9/22/2018,UFC Fight Night: Marreta vs. Anders,Light Heavyweight,Eryk Anders,KO/TKO,Win,R3,5:00
1342,Thiago Santos,8/4/2018,UFC 227: Dillashaw vs. Garbrandt 2,Middleweight,Kevin Holland,Decision - Unanimous,Win,R3,0:00
1343,Thiago Santos,4/21/2018,UFC Fight Night: Barboza vs. Lee,Middleweight,David Branch,KO/TKO,Loss,R1,2:30
1344,Thiago Santos,2/3/2018,UFC Fight Night: Machida vs. Anders,Middleweight,Anthony Smith,KO/TKO,Win,R2,1:03
1345,Thiago Santos,10/28/2017,UFC Fight Night: Brunson vs. Machida,Middleweight,Jack Hermansson,KO/TKO,Win,R1,4:59
1346,Thiago Santos,7/8/2017,UFC 213: Romero vs. Whittaker,Middleweight,Gerald Meerschaert,KO/TKO,Win,R2,2:04
1347,Thiago Santos,2/19/2017,UFC Fight Night: Lewis vs. Browne,Middleweight,Jack Marshman,KO/TKO,Win,R2,2:21
1348,Thiago Santos,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,Middleweight,Eric Spicely,Submission,Loss,R1,2:58
1349,Thiago Santos,7/9/2016,UFC 200: Tate vs Nunes,Middleweight,Gegard Mousasi,KO/TKO,Loss,R1,4:32
1350,Thiago Santos,5/14/2016,UFC 198: Werdum vs Miocic,Middleweight,Nate Marquardt,KO/TKO,Win,R1,3:39
1351,Thiago Santos,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,Middleweight,Elias Theodorou,Decision - Unanimous,Win,R3,0:00
1352,Thiago Santos,6/27/2015,UFC Fight Night: Machida vs Romero,Middleweight,Steve Bosse,KO/TKO,Win,R1,0:29
1353,Thiago Santos,1/31/2015,UFC 183: Silva vs Diaz,Middleweight,Andy Enz,KO/TKO,Win,R1,1:56
1354,Thiago Santos,7/5/2014,UFC 175: Weidman vs. Machida,Middleweight,Uriah Hall,Decision - Unanimous,Loss,R3,0:00
1355,Thiago Santos,3/23/2014,UFC Fight Night 38: Shogun vs. Henderson,Middleweight,Ronny Markes,KO/TKO,Win,R1,0:53
